voca_type,unique_id,day,day_no,word,meaning,english_meaning,pos,theme,theme_ko,priority_score,priority_band,rating,example,translation,paraphrase,paraphrase_translation,question,question_ko,collocation,collocations_json,collocations_ko_json,synonym_used,synonyms_json,phrase,memory_ko,icon,background,original_day,original_no,dataset_version,app_ready,QC2_Status,QC2_Score,QC2_Grade,pattern_recommended,pattern_ko_recommended,QC_Score,QC_Grade,QC_Issues,QC_Status,pattern_candidate_1,pattern_ko_candidate_1,pattern_candidate_2,pattern_ko_candidate_2,pattern_candidate_3,pattern_ko_candidate_3,generation_task,pattern_category,generation_word_sense,generation_context,generation_length_target,generation_structure,QC2_Issue,practice_sentence_ids,practice_sentences_en,practice_sentences_ko,practice_sentence_types,practice_situations,practice_review_words,record_type,practice_id,practice_order,practice_type,practice_situation,practice_sentence_en,practice_sentence_ko,practice_target_words,practice_target_word_meanings,practice_target_patterns,practice_pattern_meanings,practice_opic_level,practice_active,practice_extra_patterns,practice_extra_pattern_meanings,practice_extra_pattern_surfaces,practice_target_word_ko_surfaces,practice_target_pattern_ko_surfaces,practice_extra_pattern_ko_surfaces,practice_target_pattern_ko_segments,practice_extra_pattern_ko_segments,practice_patterns
TOEFL,T_D05_24,5,24,fuel,"연료를 공급하다, 자극하다",give energy to; encourage,v.,Reasons & Explanations,이유와 배경 설명하기,61,Core,3,I'm looking to fuel our team's enthusiasm with small rewards this month.,이번 달에 소소한 보상으로 우리 팀의 열정을 자극하려고 합니다.,I plan to encourage team enthusiasm using small rewards this month.,이번 달에 작은 보상으로 팀의 열정을 북돋울 계획이다.,What am I looking to do for the team?,팀을 위해 무엇을 하려고 하나요?,fuel enthusiasm,"[""fuel enthusiasm"",""fuel speculation""]","[""열정을 자극하다"",""추측을 부추기다""]",encourage,"[""encourage"",""stimulate""]",,fuel는 에너지를 더해주거나 자극한다는 의미로 외우자.,,,7,45,TOEFL_30x56_FINAL,1,PASS,96,A,I'm looking to ...,…하려고 한다,96,A,,PASS,I'll be sure to ...,,I'm not used to ...ing,,would hate to ...,,Create natural example sentence using target word and specified pattern.,intention,"자극하다, 부추기다",Family & Friends,12,short_narrative,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D05_25,5,25,fuse,"녹다, 녹이다; 융합하다","melt, dissolve; combine, merge",v.,Reasons & Explanations,이유와 배경 설명하기,61,Core,3,"I know artists fuse styles often, but this blend feels fresh.","알다시피 예술가들은 자주 스타일을 융합하지만, 이 조합은 신선하게 느껴진다.","Although artists commonly merge styles, this particular mix seems new.",예술가들이 흔히 스타일을 결합하지만 이 조합은 새롭게 느껴진다.,What do I acknowledge about artists?,예술가들에 대해 내가 인정하는 것은 무엇인가요?,fuse cultures,"[""fuse"",""fuse cultures"",""fuse ideas""]","[""융합하다"",""문화를 융합하다"",""아이디어를 융합하다""]",merge,"[""merge"",""combine""]",,fuse는 녹여 합치거나 결합한다는 뜻이다.,,,16,7,TOEFL_30x56_FINAL,1,PASS,96,A,"I know ..., but ...","알긴 하지만, ...",96,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,Create natural example sentence using target word and specified pattern.,contrast,"녹이다, 융합하다",Shopping & Services,11,short_narrative,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D05_26,5,26,induce,"1. 야기하다, 유발하다 / 2. 설득하다","1. bring about, cause, stimulate / 2. persuade, convince",v.,Reasons & Explanations,이유와 배경 설명하기,61,Core,3,Let's talk about how inducing curiosity can significantly improve student engagement.,호기심을 유발하는 방식이 학생 참여를 크게 향상시킬 수 있는지 이야기해 봅시다.,Discuss how causing curiosity can boost how much students participate.,호기심을 불러일으키는 것이 학생 참여를 높이는 방법에 대해 논의하자.,What should we talk about?,우리는 무엇에 대해 이야기해야 하나요?,induce curiosity,"[""induce curiosity"",""induce vomiting""]","[""호기심을 유발하다"",""구토를 유발하다""]",bring about,"[""bring about"",""cause""]",,induce는 어떤 결과를 야기하거나 설득한다는 의미.,,,23,2,TOEFL_30x56_FINAL,1,PASS,96,A,... talk about how ...,...에 대해 어떻게 이야기해 보자,96,A,,PASS,How about if ...?,,... talk about how ...,,It's about time (that) ...,,Create natural example sentence using target word and specified pattern.,discussion,"야기하다, 유발하다",School & Learning,11,comparison,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D05_27,5,27,invade,침입하다,"trespass, enter; intrude, raid",v.,Reasons & Explanations,이유와 배경 설명하기,61,Core,3,Why can't you stop invasive species from invading our garden?,왜 침입성 종들이 우리 정원을 침범하지 못하게 막지 못하나요?,Why are you unable to prevent invasive species entering our garden?,왜 침입성 종들이 우리 정원에 들어오는 것을 막지 못하나요?,What am I asking you to stop?,내가 무엇을 막으라고 부탁하고 있나요?,invade privacy,"[""invade"",""invade privacy"",""invade territory""]","[""침입하다"",""사생활을 침해하다"",""영역을 침범하다""]",intrude,"[""intrude"",""raid""]",,invade는 무단으로 들어오거나 침범한다는 뜻.,,,22,25,TOEFL_30x56_FINAL,1,PASS,96,A,Why can't you ... ?,왜 ~할 수 없니?,96,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,Create natural example sentence using target word and specified pattern.,complaint/question,"침입하다, 침략하다",Daily Life,10,comparison,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D05_28,5,28,liken to,~에 비유하다,compare to,phr.,Reasons & Explanations,이유와 배경 설명하기,61,Core,3,"I have to say, critics often liken new startups to veteran companies.","솔직히 말하면, 비평가들은 신생 기업을 종종 노련한 회사들에 비유한다.","Honestly, reviewers frequently compare new startups with established firms.",솔직히 비평가들은 신생 기업을 자주 기존 기업에 비유한다.,What do critics liken new startups to?,비평가들은 신생 기업을 무엇에 비유하나요?,liken to,"[""liken to"",""liken A to B""]","[""~에 비유하다"",""A를 B에 비유하다""]",compare to,"[""compare to"",""compare with""]",,liken to는 ~에 비유한다는 의미로 외우자.,,,28,39,TOEFL_30x56_FINAL,1,PASS,96,A,I have to say ...,"솔직히 말하면, ...",96,A,,PASS,I'll be sure to ...,,I'm not used to ...ing,,would hate to ...,,Create natural example sentence using target word and specified pattern.,opinion,"비유하다, 비교하다",Business,12,comparison,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D05_29,5,29,link,"관계, 유대; 관련짓다","connection, bond, tie; connect, relate, associate",n./v.,Reasons & Explanations,이유와 배경 설명하기,61,Core,3,I've got a problem with servers failing to link user accounts across platforms.,플랫폼 간에 사용자 계정을 연결하지 못하는 서버들에 문제가 있어요.,I am troubled by servers that don't connect user accounts across platforms.,플랫폼 간 사용자 계정을 연결하지 못하는 서버들 때문에 문제가 있다.,What problem have I got?,어떤 문제가 있나요?,link accounts,"[""link to"",""link accounts"",""link with""]","[""연결하다"",""계정을 연결하다"",""~와 연결하다""]",connect,"[""connect"",""associate""]",,link는 관계를 만들거나 연결한다는 뜻으로 쓰인다.,,,12,6,TOEFL_30x56_FINAL,1,PASS,96,A,I've got a problem with ...,~에 문제가 있다,96,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,Create natural example sentence using target word and specified pattern.,complaint,"관련짓다, 연결하다",Technology,13,statement,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D05_30,5,30,locate,"1. (위치 등을) 찾아내다, 발견하다 / 2. (장소·위치에) 두다","1. find, detect, discover / 2. position, situate, place",v.,Reasons & Explanations,이유와 배경 설명하기,61,Core,3,I'll let you know once I locate the nearest trailhead for tomorrow's hike.,내일 하이킹을 위해 가장 가까운 등산 입구를 찾으면 알려줄게요.,I'll inform you after I find the nearest trailhead for the hike.,하이킹에 가장 가까운 등산 입구를 찾은 후 알려주겠다.,When will I let you know?,언제를 알려주겠다고 했나요?,locate the trailhead,"[""locate"",""locate the source"",""locate the trailhead""]","[""찾아내다"",""출처를 찾아내다"",""등산 입구를 찾아내다""]",find,"[""find"",""discover""]",,locate는 위치를 찾아내거나 어떤 장소에 두는 뜻.,,,26,6,TOEFL_30x56_FINAL,1,PASS,96,A,I'll let you know ...,알려줄게요...,96,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,Create natural example sentence using target word and specified pattern.,promise,"찾아내다, 위치를 확인하다",Hobbies,13,statement,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D06_01,6,1,make it,머지않아 도착하다,arrive,phr.,Reasons & Explanations,이유와 배경 설명하기,61,Core,3,You'll make it before you know it.,곧 도착할 거예요.,You'll arrive very soon.,매우 곧 도착할 거예요.,When will you arrive?,언제 도착하나요?,make it on time,"[""make it on time"",""make it to the meeting""]","[""제 시간에 도착하다"",""회의에 참석하다""]",arrive,"[""arrive"",""get there""]",make it on time,금방 도착할 때 쓰는 표현,,,10,38,TOEFL_30x56_FINAL,Y,PASS,96,A,... before you know it,눈 깜짝할 사이에,96,A,,PASS,It's ... how ...,,Don't make me ...,,It's not that ...,,Create example sentence and translations,time_expression,도착하다,Travel,7,statement,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D06_02,6,2,designate,명시하다,"indicate, identify, specify, define",v.,Reasons & Explanations,이유와 배경 설명하기,53,Bridge,3,Do you think I should designate her leader?,그녀를 리더로 지명해야 할까요?,Should I officially name her team leader?,그녀를 공식적으로 팀장으로 임명해야 할까요?,Is she the right choice?,그녀가 적합한 선택인가요?,designate as,"[""designate as"",""designate for a role""]","[""~로 지정하다"",""~ 역할로 지명하다""]",appoint,"[""appoint"",""assign"",""name""]",designate as leader,공식적으로 지정하거나 지명할 때,,,13,6,TOEFL_30x56_FINAL,Y,PASS,96,A,Do you think I should ... ?,제가 ... 해야 할까요?,96,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,Create example sentence and translations,question,"지정하다, 지명하다",Daily Life,8,question,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D06_03,6,3,devastate,완전히 파괴하다,"destroy, demolish, ravage, ruin",v.,Reasons & Explanations,이유와 배경 설명하기,53,Bridge,3,"I'll tell you what, that virus could devastate hospitals.","내가 말하는데, 그 바이러스는 병원을 황폐화시킬 수 있어요.",That virus might completely destroy hospital capacity.,그 바이러스는 병원의 역량을 완전히 무너뜨릴 수 있어요.,How bad could the damage be?,피해가 얼마나 심할까요?,devastate completely,"[""devastate completely"",""devastate communities""]","[""완전히 파괴하다"",""공동체를 황폐화하다""]",destroy,"[""destroy"",""ruin"",""ravage""]",devastate hospitals,완전히 파괴하거나 망가뜨릴 때,,,10,39,TOEFL_30x56_FINAL,Y,PASS,96,A,"I'll tell you what, ...","내가 말하는데, ...",96,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,Create example sentence and translations,expression,완전히 파괴하다,Health,9,question,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D06_04,6,4,discharge,방출하다,"release, emit, excrete",v.,Reasons & Explanations,이유와 배경 설명하기,53,Bridge,3,I'll let you know when they discharge it.,그들이 그것을 방출할 때 알려줄게요.,I'll inform you once they release it.,그들이 그것을 방출하면 알려드리겠습니다.,Will the release be safe?,그 방출은 안전할까요?,discharge waste,"[""discharge waste"",""discharge into the river""]","[""폐기물을 배출하다"",""강으로 배출하다""]",release,"[""release"",""emit"",""expel""]",discharge into,무언가를 밖으로 배출할 때,,,27,55,TOEFL_30x56_FINAL,Y,PASS,96,A,I'll let you know ...,알려줄게요,96,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,Create example sentence and translations,commitment,방출하다,Business,8,question,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D06_05,6,5,dismantle,분해하다,"take apart, disassemble, break down",v.,Reasons & Explanations,이유와 배경 설명하기,53,Bridge,3,I'll be sure to dismantle this before moving.,이사하기 전에 이걸 분해할게요.,I'll take this apart prior to moving.,이사 전에 이것을 분해하겠습니다.,Do you need my help disassembling?,분해하는 데 제 도움이 필요하세요?,dismantle the machine,"[""dismantle the machine"",""dismantle furniture""]","[""기계를 분해하다"",""가구를 해체하다""]",take apart,"[""take apart"",""disassemble""]",dismantle before moving,부품을 나누어 분해할 때,,,17,42,TOEFL_30x56_FINAL,Y,PASS,96,A,I'll be sure to ...,반드시 ...할게요,96,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,Create example sentence and translations,commitment,분해하다,Travel,8,question,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D06_06,6,6,dissipate,"흩어지다, 사라지다","disperse, scatter",v.,Reasons & Explanations,이유와 배경 설명하기,53,Bridge,3,"Believe it or not, the fog will dissipate.","믿기지 않겠지만, 안개가 사라질 거예요.","Surprisingly, the fog will soon disappear.",놀랍게도 그 안개가 곧 사라질 것입니다.,When will visibility improve?,언제 시야가 좋아질까요?,dissipate quickly,"[""dissipate quickly"",""dissipate over time""]","[""빠르게 흩어지다"",""시간이 지나며 사라지다""]",disperse,"[""disperse"",""scatter""]",dissipate soon,흩어지거나 사라질 때,,,21,2,TOEFL_30x56_FINAL,Y,PASS,96,A,"Like/Believe it or not, ...","믿기 어렵겠지만, ...",96,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,Create example sentence and translations,expression,"흩어지다, 사라지다",Family & Friends,8,question,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D06_07,6,7,divergent,"여러 색의 다른, 갈라지는","varying, different, dissimilar",adj.,Reasons & Explanations,이유와 배경 설명하기,53,Bridge,3,I'll let you know if opinions turn divergent.,의견이 분화되면 알려줄게요.,I'll inform you when views start to differ.,견해가 달라지기 시작하면 알려드리겠습니다.,Do you expect disagreement?,이견이 생길 것으로 예상하나요?,divergent opinions,"[""divergent opinions"",""divergent paths""]","[""갈라진 의견"",""분기되는 경로""]",different,"[""different"",""varying"",""dissimilar""]",opinions turn divergent,서로 달라지거나 갈라질 때,,,11,40,TOEFL_30x56_FINAL,Y,PASS,96,A,I'll let you know ...,알려줄게요,96,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,Create example sentence and translations,commitment,"서로 다른, 갈라지는",Daily Life,8,request_or_suggestion,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D06_08,6,8,eccentric,"별난, 특이한","unusual, bizarre, peculiar, odd",adj.,Reasons & Explanations,이유와 배경 설명하기,53,Bridge,3,I'll be sure to invite the eccentric artist.,그 특이한 예술가를 꼭 초대할게요.,I'll make sure the unusual artist gets invited.,그 독특한 예술가가 초대되도록 확실히 하겠습니다.,Do you think they'll accept?,그들이 수락할 것 같나요?,eccentric artist,"[""eccentric artist"",""eccentric behavior""]","[""별난 예술가"",""기이한 행동""]",peculiar,"[""peculiar"",""odd"",""unusual""]",eccentric artist,특이하거나 별난 사람을 묘사할 때,,,11,14,TOEFL_30x56_FINAL,Y,PASS,96,A,I'll be sure to ...,반드시 ...할게요,96,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,Create example sentence and translations,commitment,"별난, 특이한",Business,8,request_or_suggestion,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D06_09,6,9,embellish,장식하다,"decorate, make attractive, adorn, beautify, ornament",v.,Reasons & Explanations,이유와 배경 설명하기,53,Bridge,3,Don't make me embellish that plain wedding cake.,그 밋밋한 웨딩케이크를 과장해서 꾸미게 만들지 마세요.,Please don't force me to decorate that plain cake.,제발 그 평범한 케이크를 꾸미게 하지 마세요.,Do you want extra decorations?,추가 장식을 원하시나요?,embellish with icing,"[""embellish with icing"",""embellish details""]","[""아이싱으로 장식하다"",""세부를 장식하다""]",decorate,"[""decorate"",""adorn"",""ornament""]",embellish the cake,더 아름답게 꾸밀 때 쓰는 표현,,,9,24,TOEFL_30x56_FINAL,Y,PASS,96,A,Don't make me ...,제발 ...하게 하지 마,96,A,,PASS,Don't make me ...,,I'll see ...,,I'll be sure to ...,,Create example sentence and translations,command,장식하다,Shopping & Services,8,request_or_suggestion,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D06_10,6,10,eminently,"대단히, 현저히","exceptionally, highly, extremely",adv.,Reasons & Explanations,이유와 배경 설명하기,53,Bridge,3,I'll be sure to explain why it's eminently suitable.,그것이 대단히 적합한 이유를 꼭 설명할게요.,I'll definitely describe why it's highly appropriate.,왜 아주 적절한지 확실히 설명하겠습니다.,Should I prepare examples?,예시를 준비할까요?,eminently suitable,"[""eminently suitable"",""eminently qualified""]","[""대단히 적합한"",""매우 자격이 있는""]",extremely,"[""extremely"",""highly"",""exceptionally""]",eminently suitable,매우 뛰어나거나 적합하다고 말할 때,,,10,40,TOEFL_30x56_FINAL,Y,PASS,96,A,I'll be sure to ...,반드시 ...할게요,96,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,Create example sentence and translations,commitment,"대단히, 현저히",School & Learning,9,request_or_suggestion,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D06_11,6,11,emphasize,강조하다,"stress, highlight, underline",v.,Reasons & Explanations,이유와 배경 설명하기,53,Bridge,3,"I must admit, I emphasized her effort to management.",솔직히 말하면 저는 경영진에게 그녀의 노력을 강조했습니다.,I openly highlighted her contributions for the managers.,저는 경영진에게 그녀의 기여를 공개적으로 강조했습니다.,Who did you emphasize her effort to?,그녀의 노력을 누구에게 강조했나요?,emphasize the importance / emphasize effort,"[""emphasize the importance"",""emphasize effort"",""emphasize to management""]","[""중요성을 강조하다"",""노력을 강조하다"",""경영진에게 강조하다""]",highlight,"[""highlight"",""stress"",""underscore""]",emphasize the importance,중요한 부분을 크게 드러내는 이미지로 기억하세요.,,,3,28,TOEFL_30x56_FINAL,1,COMPLETE,95,A,"I must admit, ...","솔직히 말하면, ...",95,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,example_sentence_generation,opening,중요성·가치를 강조함,Business,9,admission,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D06_12,6,12,empirical,"실험상의, 경험에 의한","based on observation, experimental",adj.,Reasons & Explanations,이유와 배경 설명하기,53,Bridge,3,I'll let you know if empirical data supports it.,실험적 데이터가 그것을 지지하면 알려줄게요.,I'll inform you when observational data confirms it.,관찰 데이터가 그것을 확인하면 알려드리겠습니다.,Have you collected any data yet?,이미 데이터를 수집하셨나요?,empirical evidence,"[""empirical evidence"",""empirical study""]","[""경험적 증거"",""실험적 연구""]",observational,"[""observational"",""experimental""]",empirical data,경험이나 관찰에 근거한 것을 말할 때,,,7,22,TOEFL_30x56_FINAL,Y,PASS,96,A,I'll let you know ...,알려줄게요,96,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,Create example sentence and translations,commitment,"실험상의, 경험에 의한",Travel,9,conditional,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D06_13,6,13,encompass,포함하다,"include, contain, embrace",v.,Reasons & Explanations,이유와 배경 설명하기,53,Bridge,3,That explains why his job encompasses childcare and errands.,"그렇군요, 그래서 그의 업무에 육아와 심부름이 포함되네요.",Now I see his job includes childcare and errands.,이제 그의 업무가 육아와 심부름을 포함한다는 것을 알겠어요.,What does his job encompass?,그의 업무는 무엇을 포함하나요?,encompass responsibilities / encompass the area,"[""encompass responsibilities"",""encompass the area"",""encompass childcare""]","[""책임을 포함하다"",""범위를 포함하다"",""육아를 포함하다""]",include,"[""include"",""contain"",""cover""]",encompass the area,넓은 영역을 감싸듯 포함한다는 이미지로 기억하세요.,,,27,12,TOEFL_30x56_FINAL,1,COMPLETE,95,A,That explains why ...,"그렇군요, 그래서 ...",95,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,example_sentence_generation,explanation,"포함하다, 범위에 들다",Family & Friends,9,explanation,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D06_14,6,14,encounter,마주치다,"meet (with), experience, confront, face",v.,Reasons & Explanations,이유와 배경 설명하기,53,Bridge,3,I'm fed up with how often I encounter delays.,지연을 얼마나 자주 겪는지 정말 지긋지긋해요.,I'm tired of repeatedly running into delays.,반복적으로 지연을 겪는 것이 지쳤어요.,Has your schedule been affected?,일정에 영향이 있었나요?,encounter problems,"[""encounter delays"",""encounter problems""]","[""지연을 겪다"",""문제를 마주치다""]",meet,"[""meet"",""experience"",""face""]",encounter delays,우연히 맞닥뜨리거나 경험할 때,,,5,9,TOEFL_30x56_FINAL,Y,PASS,96,A,I'm fed up with ...,정말 지긋지긋해요,96,A,,PASS,What's up with ...?,,... is obsessed with ...,,I'm fed up with ...,,Create example sentence and translations,complaint,마주치다,Business,9,conditional,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D06_15,6,15,enigmatic,"불가사의한, 이해할 수 없는","mysterious, puzzling",adj.,Reasons & Explanations,이유와 배경 설명하기,53,Bridge,3,You can't just ignore that enigmatic note on my desk.,그 수수께끼 같은 쪽지를 내 책상 위에서 그냥 무시할 수는 없어요.,That mysterious note on my desk can't be ignored.,내 책상 위에 있는 그 수상한 쪽지는 무시할 수 없습니다.,Why is the note enigmatic?,왜 그 쪽지가 불가사의한가요?,enigmatic smile / enigmatic message,"[""enigmatic smile"",""enigmatic message"",""enigmatic note""]","[""불가사의한 미소"",""수수께끼 같은 메시지"",""수수께끼 쪽지""]",mysterious,"[""mysterious"",""puzzling"",""cryptic""]",enigmatic message,수수께끼 퍼즐처럼 이해가 안 되는 이미지로 기억하세요.,,,25,7,TOEFL_30x56_FINAL,1,COMPLETE,95,A,You can't (just) ...,그냥 ...할 수는 없다,95,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,example_sentence_generation,restriction,"이해하기 어려운, 불가사의한",Daily Life,10,prohibition,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D06_16,6,16,ostentatious,과시하는,showy,adj.,Reasons & Explanations,이유와 배경 설명하기,47,Advanced,2,I'll see those ostentatious designs at the fair.,박람회에서 그 화려한 디자인들을 보게 될 거예요.,I'll check out those showy designs during the fair.,박람회 동안 그 과시적인 디자인들을 살펴보겠습니다.,Do you like showy styles?,화려한 스타일을 좋아하나요?,ostentatious display,"[""ostentatious display"",""ostentatious jewelry""]","[""과시적인 전시"",""과시적인 보석""]",showy,"[""showy"",""flashy""]",ostentatious designs,과시하거나 눈에 띄게 꾸밀 때,,,27,48,TOEFL_30x56_FINAL,Y,PASS,96,A,I'll see ...,내가 볼게요,96,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,Create example sentence and translations,observation,과시하는,Hobbies,8,reason_or_result,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D06_17,6,17,overwhelming,압도적인,"powerful, enormous, compelling, tremendous",adj.,Reasons & Explanations,이유와 배경 설명하기,47,Advanced,2,I have to say the pain was overwhelming after surgery.,솔직히 말하면 수술 후 통증이 압도적이었어요.,"Honestly, the pain after the operation felt overpowering.",솔직히 말해 수술 후 통증이 강하게 느껴졌습니다.,How did the pain feel after surgery?,수술 후 통증은 어땠나요?,overwhelming feeling / overwhelmingly strong,"[""overwhelming feeling"",""overwhelming majority"",""overwhelming evidence""]","[""압도적인 감정"",""압도적으로 강한"",""압도적인 증거""]",overpowering,"[""overpowering"",""tremendous"",""enormous""]",overwhelming majority,감당할 수 없을 만큼 무거운 느낌을 상상하세요.,,,6,11,TOEFL_30x56_FINAL,1,COMPLETE,95,A,I have to say ...,솔직히 말하면 ...,95,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,example_sentence_generation,opening,감당할 수 없을 만큼 강한,Health,10,statement,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D06_18,6,18,paradoxical,역설적인,"seemingly contradictory, ironic",adj.,Reasons & Explanations,이유와 배경 설명하기,47,Advanced,2,"I hate to say this, but that result seems paradoxical.",이런 말 하기 싫지만 그 결과는 역설적으로 보입니다.,"Unfortunately, the outcome appears contradictory to expectations.",유감스럽게도 그 결과는 기대와 모순되는 것처럼 보입니다.,Why does the result seem paradoxical?,왜 그 결과가 역설적으로 보이나요?,paradoxical situation / paradoxical outcome,"[""paradoxical situation"",""paradoxical outcome"",""seem paradoxical""]","[""역설적인 상황"",""역설적인 결과"",""역설적으로 보이다""]",contradictory,"[""contradictory"",""ironic"",""self-contradictory""]",paradoxical result,겉보기에는 모순되는 상황을 떠올려 기억하세요.,,,10,48,TOEFL_30x56_FINAL,1,COMPLETE,95,A,"I hate to say this, but ...","이런 말 하기 싫지만, ...",95,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,example_sentence_generation,opening,겉으로 보기에 모순되는,Business,10,cautious_statement,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D06_19,6,19,master,습득하다; 지배하다,"learn thoroughly, learn, acquire; control, manage",v.,Choices & Decisions,선택과 결정 말하기,61,Core,3,You might want to master the basics before applying.,지원하기 전에 기본을 익히는 것이 좋을 수 있어요.,It may help to thoroughly learn fundamentals first.,먼저 기초를 철저히 배우는 것이 도움이 될 수 있습니다.,How long will mastery take?,숙달하는 데 얼마나 걸릴까요?,master a skill,"[""master a skill"",""master the technique""]","[""기술을 숙달하다"",""기법을 익히다""]",learn thoroughly,"[""learn thoroughly"",""acquire"",""dominate""]",master the basics,완전히 익히거나 통달할 때,,,6,9,TOEFL_30x56_FINAL,Y,PASS,96,A,You might want to/wanna ...,~하는 게 어떨까요,96,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,Create example sentence and translations,suggestion,습득하다; 지배하다,Choices & Decisions,9,reason_or_result,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D06_20,6,20,mode,"방식, 형태","method, form, fashion, style",n.,Choices & Decisions,선택과 결정 말하기,61,Core,3,"I'll tell you what, this new mode suits our workflow.","내가 말하는데, 이 새로운 방식이 우리의 워크플로에 맞아요.","Frankly, the new method fits how we work.",솔직히 그 새로운 방식이 우리의 작업 방식에 맞습니다.,Should we adopt it company-wide?,회사 전체에 도입해야 할까요?,mode of operation,"[""mode of operation"",""operating mode""]","[""작동 방식"",""운영 모드""]",method,"[""method"",""style"",""fashion""]",new mode,방식이나 형태를 말할 때,,,17,32,TOEFL_30x56_FINAL,Y,PASS,96,A,"I'll tell you what, ...","내가 말하는데, ...",96,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,Create example sentence and translations,expression,"방식, 형태",Shopping & Services,10,contrast_or_concession,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D06_21,6,21,modest,"그리 크지 않은, 소박한","small, not large, limited; simple",adj.,Choices & Decisions,선택과 결정 말하기,61,Core,3,"It's not that modest, but it fits our budget.",그렇게 크진 않지만 우리 예산에 맞아요.,"It's somewhat modest, yet appropriate for our budget.",약간 소박하지만 우리 예산에 적절합니다.,Can we afford upgrades later?,나중에 업그레이드할 수 있을까요?,modest price,"[""modest price"",""modest size""]","[""적당한 가격"",""소박한 크기""]",simple,"[""simple"",""small"",""unassuming""]",not that modest,크지 않고 소박한 상태를 표현,,,14,2,TOEFL_30x56_FINAL,Y,PASS,96,A,It's not that ...,그렇게 ...한 건 아니다,96,A,,PASS,I'm not used to ...ing,,I'm not clear ...,,It's not that ...,,Create example sentence and translations,contrast,"그리 크지 않은, 소박한",School & Learning,9,contrast_or_concession,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
